time,leftDuration,rightDuration,bottleVolume,pee,poo,sleepDuration,weight,note
2019-07-09 08:01,,938,,,,,,
2019-07-09 08:01,787,,,,,,,
2019-07-09 08:44,,,,0,1,,,
2019-07-09 09:02,,,60,,,,,
2019-07-09 09:35,,,,,,4532,,
2019-07-09 10:57,,,,1,0,,,
2019-07-09 10:57,948,,,,,,,
2019-07-09 10:57,,498,,,,,,
2019-07-09 11:34,,,,0,1,,,
2019-07-09 11:49,,,50,,,,,
2019-07-09 11:52,,,,1,1,,,
2019-07-09 11:53,,,,,,,4000,
2019-07-09 12:00,,,,,,3600,,
2019-07-09 13:35,,,,1,0,,,
2019-07-09 13:41,,,120,,,,,
2019-07-09 14:36,,,,,,4535,,
2019-07-09 15:53,,,,1,1,,,
2019-07-09 16:41,,,130,,,,,
2019-07-09 16:42,,,,1,1,,,
2019-07-09 17:02,,,,,,8467,,
2019-07-09 19:25,,,,1,0,,,
2019-07-09 19:58,,,150,,,,,
2019-07-09 20:20,,,,1,1,,,
2019-07-09 20:45,,,,,,4800,,
2019-07-09 22:42,,,120,,,,,
2019-07-09 22:48,,,,1,1,,,
2019-07-09 23:17,,,,,,408,,
2019-07-09 23:24,,,30,,,,,
2019-07-09 23:24,,,,,,12366,,
2019-07-09 23:24,,,,,,,,
2019-07-10 03:00,,,,1,0,,,
2019-07-10 03:08,,,160,,,,,
2019-07-10 03:25,,,,1,1,,,
2019-07-10 03:42,,,,,,7102,,
2019-07-10 06:25,,,120,,,,,
2019-07-10 06:29,,,,1,1,,,
2019-07-10 06:35,,,,,,10770,,
2019-07-10 09:34,,,,1,1,,,
2019-07-10 10:07,,,,1,1,,,
2019-07-10 10:07,,,100,,,,,
2019-07-10 10:17,,,,,,3987,,
2019-07-10 11:27,,,,1,1,,,
2019-07-10 12:05,,,,1,0,,,
2019-07-10 12:21,,,130,,,,,
2019-07-10 12:25,,,,,,8789,,
2019-07-10 14:51,,,,1,0,,,
2019-07-10 15:29,,,150,,,,,
2019-07-10 15:29,,,,1,1,,,
2019-07-10 15:45,,,,,,,4100,
2019-07-10 15:53,,,,,,6785,,
2019-07-10 17:47,,,,1,0,,,
2019-07-10 18:27,,,,0,1,,,
2019-07-10 18:35,,,120,,,,,
2019-07-10 18:50,,,,,,5462,,
2019-07-10 20:21,,,,1,1,,,
2019-07-10 20:49,,,120,,,,,
2019-07-10 20:54,,,,1,0,,,
2019-07-10 21:10,,,,,,4881,,
2019-07-10 22:46,,,80,,,,,
2019-07-10 23:00,,,,1,1,,,
2019-07-10 23:18,,,,1,1,,,
2019-07-10 23:18,,,,,,,,
2019-07-11 00:05,,,,,,12037,,
2019-07-11 03:25,,,,1,0,,,
2019-07-11 03:46,,,140,,,,,
2019-07-11 03:49,,,,1,1,,,
2019-07-11 04:01,,,,,,10128,,
2019-07-11 06:49,,,,1,1,,,
2019-07-11 07:09,,,140,,,,,
2019-07-11 07:55,,,,,,3600,,
2019-07-11 09:31,,,,,,,4150,
2019-07-11 09:31,,,,1,1,,,
2019-07-11 09:32,884,,,,,,,
2019-07-11 09:59,,,30,,,,,
2019-07-11 10:03,,,,,,6274,,
2019-07-11 11:48,,,,1,1,,,
2019-07-11 12:08,,,,0,1,,,
2019-07-11 12:08,,,140,,,,,
2019-07-11 13:30,,,,1,0,,,
2019-07-11 13:42,,,40,,,,,
2019-07-11 13:46,,,,0,1,,,
2019-07-11 14:13,,,,,,2933,,
2019-07-11 15:04,,,,1,1,,,
2019-07-11 15:34,,,130,,,,,
2019-07-11 15:51,,,,0,1,,,
2019-07-11 16:20,,,30,,,,,
2019-07-11 16:39,,,,,,4996,,
2019-07-11 18:06,,,,1,0,,,
2019-07-11 18:07,,696,,,,,,
2019-07-11 18:07,921,,,,,,,
2019-07-11 18:53,,,90,,,,,
2019-07-11 19:20,,,,,,2162,,
2019-07-11 19:59,,,,1,1,,,
2019-07-11 20:00,,,,,,2290,,
2019-07-11 20:42,,730,,,,,,
2019-07-11 20:42,273,,,,,,,
2019-07-11 21:36,,,120,,,,,
2019-07-11 21:55,,,,1,1,,,
2019-07-11 22:46,,,,,,2042,,
2019-07-11 23:29,588,,,,,,,
2019-07-11 23:29,,616,,,,,,
